province,city,total_male_total,total_female_total,households,population_2023,average_household_size,population_2017,growth_rate,area(km²),density_2023(people/km²),primary_boys_schools,primary_girls_schools,secondary_boys_schools,secondary_girls_schools,high_boys_schools,high_girls_schools,Intermediate_boys_schools,Intermediate_girls_schools,total_boys_schools,total_girls_schools,total_schools,lat,lng
punjab,bahawalpur,2863378.018397394,5852534.491676192,2060013,13400009,6.48,11452594,8.1,45588,346.96000000000004,2365,2392,376,513,413,317,32,38,3186,3260,6446,29.3956,71.6722
kp,bannu,1817163.9427481438,1364313.9561882499,414765,3092078,7.283333333333334,2652867,8.61,9098,527.6466666666666,1608,1269,173,188,156,85,34,18,1971,1560,3531,32.9889,70.6056
kp,bannu,801448.64928789,1343249.080062679,414765,3092078,7.283333333333334,2652867,8.61,9098,527.6466666666666,1608,1269,173,188,156,85,34,18,1971,1560,3531,32.9889,70.6056
punjab,dera_ghazi_khan,3168371.2730902317,5640316.133155641,1955041,12892465,6.6425,11021214,10.71,38781,355.03000000000003,2517,2022,327,330,344,242,35,20,3223,2614,5837,30.05,70.6333
kp,dera_ismail_khan,1852754.1862537519,1471023.0586610078,519548,3188779,6.13,2795853,7.63,17633,203.46,1349,911,214,126,133,65,34,16,1730,1118,2848,31.8167,70.9167
kp,dera_ismail_khan,1397694.038662448,1437506.8341751932,519548,3188779,6.13,2795853,7.63,17633,203.46,1349,911,214,126,133,65,34,16,1730,1118,2848,31.8167,70.9167
punjab,faisalabad,3546585.084186848,7234585.302250138,2527950,16228526,6.3175,14185231,8.879999999999999,20560,815.7575,1601,1874,362,574,500,564,44,61,2507,3073,5580,31.418,73.079
punjab,gujranwala,4030552.590734037,7986335.231372892,2775775,18778868,6.718333333333334,16120861,14.82,17207,1037.12,1715,3089,403,653,623,734,61,70,2802,4546,7348,32.15,74.1833
sindh,hyderabad,4099716.344439841,5482383.014090638,2246096,11659246,5.196666666666667,10596049,14.24,56657,264.4888888888889,10905,1407,331,89,404,143,61,20,11701,1659,13360,25.3969,68.3772
capital_territory,islamabad,1001754.0048921042,1052475.0987994536,411518,2363863,5.74,2003368,2.8,906,2609.12,0,0,0,0,345,61,233,51,578,112,690,33.6989,73.0369
balochistan,kalat,724929.77847272,1132980.6186990743,433209,2721018,6.545000000000001,2174722,25.979999999999997,93323,89.73666666666666,1679,654,176,148,141,82,18,9,2014,893,2907,29.0266,66.5936
sindh,karachi,5342125.379023229,8412819.040276619,3439220,20382881,5.944285714285714,16024894,27.96,4207,19858.99142857143,1855,264,146,65,452,217,27,10,2480,556,3036,24.86,67.01
kp,kohat,1982383.662785685,1603383.8508903806,473606,3752436,8.032,3205114,16.02,11932,338.718,1596,1134,187,194,212,96,50,20,2045,1444,3489,33.5869,71.4414
kp,kohat,1042457.7210575378,1580768.9184133303,473606,3752436,8.032,3205114,16.02,11932,338.718,1596,1134,187,194,212,96,50,20,2045,1444,3489,33.5869,71.4414
punjab,lahore,4847983.243113519,10080700.590883818,3498991,22772710,6.555,19389856,11.34,12558,2519.76,1481,1237,280,437,435,460,28,43,2224,2177,4401,31.5497,74.3436
sindh,larkana,2063830.6839169292,3171942.9881741377,1208563,7093706,5.914,6190926,11.46,17887,491.436,5949,975,221,96,231,80,47,15,6448,1166,7614,27.56,68.2264
balochistan,loralai,245239.66702190178,393168.4456663436,135679,870000,6.705,735691,11.809999999999999,23305,41.95,1188,406,79,65,54,32,5,4,1326,507,1833,30.3705,68.5979
kp,malakand,6863115.450736251,4385160.925286751,1345243,9959399,7.430000000000001,8603594,22.06,32195,542.1288888888889,4126,2213,453,314,443,212,144,74,5166,2813,7979,34.5656,71.9304
kp,malakand,2377033.609783323,4313587.567895802,1345243,9959399,7.430000000000001,8603594,22.06,32195,542.1288888888889,4126,2213,453,314,443,212,144,74,5166,2813,7979,34.5656,71.9304
kp,mardan,999749.188411569,2017031.2083256748,679939,4639498,6.82,3998876,5.05,3175,1454.895,1380,1061,152,143,158,132,76,57,1766,1393,3159,34.1958,72.0447
sindh,mirpur_khan,1408434.34344588,2213915.3936196505,863467,4619624,5.336666666666666,4224945,4.47,28171,290.7366666666667,7322,1270,378,69,194,52,33,7,7927,1398,9325,25.5269,69.0111
punjab,multan,3067286.081724567,6243712.071822105,2281317,14085102,6.172499999999999,12268173,9.41,15211,923.8025,1247,1716,362,540,435,331,52,49,2096,2636,4732,30.1978,71.4711
kp,peshawar,6651458.072539497,4555624.518218498,1446220,10035171,7.212000000000001,8922505,11.27,8873,1462.152,2127,1742,256,261,283,174,88,54,2754,2231,4985,34.0,71.5
kp,peshawar,2558388.047945769,4581244.684277298,1446220,10035171,7.212000000000001,8922505,11.27,8873,1462.152,2127,1742,256,261,283,174,88,54,2754,2231,4985,34.0,71.5
balochistan,quetta,1183134.7171667658,1972685.5116909763,565181,4259163,6.8925,3764730,7.449999999999999,15106,385.6875,1424,375,149,131,118,108,10,9,1701,623,2324,30.192,67.007
punjab,rawalpindi,2501936.5314547936,5000161.5290015275,1871806,11406496,6.07,10006624,9.06,22255,531.335,1266,1722,268,420,606,563,50,49,2190,2754,4944,33.6007,73.0679
punjab,sahiwal,1844656.8857219974,3769609.19083569,1341588,8533471,6.346666666666667,7378065,7.43,10302,829.2166666666667,1124,1006,215,368,342,281,26,30,1707,1685,3392,30.6706,73.1064
punjab,sargodha,2041905.135422892,4120615.5339000393,1543421,9591275,6.1675,8167037,10.91,26358,379.7475,1772,1951,351,385,438,386,44,39,2605,2761,5366,32.0836,72.6711
balochistan,sibi,321327.22279412707,506060.024430427,171016,1156748,7.15,963941,16.759999999999998,31151,51.27,1055,297,94,91,90,51,7,6,1246,445,1691,29.543,67.8773
balochistan,sibi,220503.42555268703,496914.383622382,171016,1156748,7.15,963941,16.759999999999998,31151,51.27,1055,297,94,91,90,51,7,6,1246,445,1691,29.543,67.8773
balochistan,sibi,138500.99346117346,487037.7731747837,171016,1156748,7.15,963941,16.759999999999998,31151,51.27,1055,297,94,91,90,51,7,6,1246,445,1691,29.543,67.8773
balochistan,sibi,173251.8839042905,501868.1184257484,171016,1156748,7.15,963941,16.759999999999998,31151,51.27,1055,297,94,91,90,51,7,6,1246,445,1691,29.543,67.8773
sindh,sukkur,1847519.560567508,2867081.9960348886,1052475,6010041,5.7299999999999995,5542270,4.14,24505,369.16333333333336,5646,775,140,63,347,109,34,9,6167,956,7123,27.6995,68.8673
balochistan,zhob,375116.8382210537,439623.01146115724,154054,927579,6.053333333333334,806238,7.88,29928,47.21333333333333,908,186,67,42,49,21,8,3,1032,252,1284,31.3417,69.4486
